Number of Genes (l),Population Size (N),Generations (G),Mutation Probability (P_m),Crossover Probability (P_c)
20,30,100,0.033,0.6

Generation,Avg Fitness,Best Fitness,# of Correct Bits in Best
18,0.0935042,0.919141,14
19,0.0789676,0.679749,12
20,0.0993089,0.633095,12
21,0.189811,0.980415,15
22,0.0272197,0.206739,11
23,0.099289,0.960402,16
24,0.0912678,0.800025,10
25,0.160449,0.854225,16
26,0.0854863,0.949934,11
27,0.116984,0.788129,13
28,0.0855105,0.764403,12
29,0.0602303,0.615028,13
30,0.0974496,0.725236,12
31,0.0385996,0.429425,15
32,0.0648956,0.674198,11
33,0.17214,0.996011,16
34,0.0818,0.981727,13
35,0.0899031,0.615847,13
36,0.0885904,0.971254,11
37,0.102626,0.662841,15
38,0.0740876,0.767779,12
39,0.0712361,0.96123,16
40,0.0860852,0.952213,17
41,0.0331405,0.234328,11
42,0.117763,0.981502,13
43,0.14442,0.986644,17
44,0.0502075,0.809373,10
45,0.123684,0.993088,14
46,0.0997014,0.992823,14
47,0.0791446,0.673322,11
48,0.106382,0.670894,16
49,0.103278,0.743912,10
50,0.0767817,0.794193,11
51,0.161574,0.978122,16
52,0.0838707,0.961166,17
53,0.070035,0.962593,12
54,0.0287012,0.418348,11
55,0.0602375,0.704203,13
56,0.204551,0.955549,15
57,0.0877699,0.767772,12
58,0.0731555,0.621673,12
59,0.0671302,0.488775,10
60,0.112477,0.582939,12
61,0.0848897,0.852505,13
62,0.0964756,0.959437,14
63,0.096662,0.750935,12
64,0.0854647,0.93118,13
65,0.075095,0.729992,9
66,0.126077,0.920698,13
67,0.107145,0.935419,15
68,0.16063,0.822228,12
69,0.0775812,0.810486,13
70,0.053707,0.47783,12
71,0.0895631,0.904554,14
72,0.0930922,0.901188,14
73,0.0515121,0.72721,15
74,0.041105,0.387307,11
75,0.0702659,0.798224,12
76,0.135635,0.94075,14
77,0.15868,0.898456,10
78,0.0959145,0.685681,10
79,0.0887058,0.848564,13
80,0.110554,0.854663,10
81,0.0321574,0.500389,9
82,0.122925,0.846075,13
83,0.0844985,0.724715,13
84,0.0666785,0.645965,12
85,0.0494102,0.530623,11
86,0.0994069,0.730531,9
87,0.102053,0.915646,10
88,0.0907935,0.61157,14
89,0.0849411,0.684602,14
90,0.103344,0.983858,15
91,0.0568908,0.772499,11
92,0.113845,0.691975,15
93,0.0717372,0.65584,14
94,0.0614933,0.915276,15
95,0.16546,0.982384,14
96,0.0540667,0.434357,11
97,0.0488267,0.313974,14
98,0.0592468,0.75286,12
99,0.0465698,0.544312,11
100,0.0810681,0.893092,14

1,0.0195099,0.3074,11
2,0.0954264,0.885481,14
3,0.113699,0.758024,9
4,0.0917555,0.699958,12
5,0.125559,0.609106,13
6,0.117287,0.989002,16
7,0.0514647,0.419533,13
8,0.0903973,0.719613,15
9,0.0522061,0.862737,13
10,0.108989,0.678517,11
11,0.10695,0.887749,13
12,0.0766354,0.470749,13
13,0.10187,0.657087,13
14,0.0458808,0.476233,12
15,0.0438666,0.424235,14
16,0.0892953,0.999295,17
17,0.0921204,0.944729,13
18,0.170254,0.978524,15
19,0.106527,0.937496,13
20,0.0183204,0.240524,8
21,0.100698,0.878293,11
22,0.151397,0.911119,12
23,0.0172531,0.273021,10
24,0.0477373,0.868382,12
25,0.0641952,0.531373,7
26,0.0618951,0.527965,10
27,0.043885,0.452876,10
28,0.130673,0.69991,12
29,0.0947733,0.840749,11
30,0.0757305,0.983379,12
31,0.111596,0.935285,11
32,0.0916091,0.747999,10
33,0.0526564,0.808199,13
34,0.115036,0.746099,11
35,0.0657853,0.703348,13
36,0.0643473,0.684385,13
37,0.133165,0.945001,13
38,0.0881908,0.878276,13
39,0.0886788,0.683897,13
40,0.124148,0.725736,15
41,0.113327,0.952021,15
42,0.0429742,0.46969,12
43,0.115186,0.612557,12
44,0.0894603,0.652592,12
45,0.0466415,0.469285,12
46,0.122266,0.884345,16
47,0.157704,0.948587,12
48,0.046054,0.407333,8
49,0.0880375,0.862829,9
50,0.166659,0.950872,15
51,0.101197,0.63252,11
52,0.0967522,0.633227,10
53,0.150884,0.628528,9
54,0.0354595,0.399668,11
55,0.0389895,0.65436,13
56,0.086136,0.819394,13
57,0.0925667,0.781833,12
58,0.118563,0.907652,10
59,0.0926394,0.813728,14
60,0.0148853,0.196379,11
61,0.0383439,0.573589,9
62,0.0620903,0.551085,8
63,0.131164,0.690873,12
64,0.0788963,0.426081,10
65,0.0341283,0.323149,11
66,0.0792338,0.766788,11
67,0.0865104,0.636522,11
68,0.111248,0.660841,13
69,0.0600055,0.511154,12
70,0.0693922,0.788738,14
71,0.0759327,0.720685,10
72,0.0837388,0.782238,11
73,0.154378,0.962842,11
74,0.0438644,0.382814,12
75,0.0622192,0.56809,14
76,0.0766062,0.85623,11
77,0.163754,0.922639,15
78,0.130879,0.917251,13
79,0.123772,0.963857,14
80,0.22831,0.986097,13
81,0.0956468,0.821764,10
82,0.106462,0.690586,11
83,0.102452,0.733412,11
84,0.0515745,0.492598,8
85,0.0604719,0.741759,13
86,0.0937315,0.930742,13
87,0.0839227,0.641596,11
88,0.100364,0.877758,13
89,0.101197,0.659273,12
90,0.0454968,0.497512,13
91,0.12984,0.988011,12
92,0.0617407,0.443254,15
93,0.0997953,0.982966,14
94,0.126006,0.9974,18
95,0.0955678,0.89682,13
96,0.163071,0.785002,11
97,0.0615899,0.542439,13
98,0.0668594,0.580754,12
99,0.106977,0.972369,12
100,0.032933,0.351815,11

1,0.110599,0.97533,13
2,0.0851019,0.909043,10
3,0.079842,0.983736,13
4,0.098117,0.765332,12
5,0.136228,0.919839,16
6,0.115457,0.796218,14
7,0.0600456,0.579287,13
8,0.113763,0.856171,11
9,0.049024,0.384501,9
10,0.0814612,0.860935,9
11,0.0688898,0.934908,11
12,0.0622667,0.839567,16
13,0.105219,0.84181,11
14,0.124726,0.816203,14
15,0.102692,0.848959,15
16,0.139662,0.92859,11
17,0.154791,0.738246,9
18,0.12088,0.948396,14
19,0.0715096,0.957913,15
20,0.0624402,0.862286,11
21,0.0718495,0.978786,15
22,0.0516593,0.662196,12
23,0.0961176,0.477208,14
24,0.152226,0.987153,15
25,0.132668,0.883798,15
26,0.0945432,0.804757,16
27,0.037031,0.253837,13
28,0.183245,0.922248,17
29,0.0471244,0.409574,9
30,0.0751621,0.761794,11
31,0.11039,0.780794,13
32,0.0918259,0.852695,17
33,0.141428,0.910173,12
34,0.149716,0.791113,9
35,0.0510872,0.393186,11
36,0.0316186,0.359017,9
37,0.0797944,0.693572,13
38,0.122468,0.772166,13
39,0.0849989,0.634943,11
40,0.114953,0.90038,14
41,0.0764848,0.799728,13
42,0.126716,0.896224,14
43,0.0916089,0.879583,12
44,0.105347,0.950016,13
45,0.141744,0.924538,18
46,0.0460821,0.683112,14
47,0.105707,0.755813,14
48,0.124716,0.922098,15
49,0.0947804,0.772522,13
50,0.101403,0.634632,12
51,0.1417,0.729784,11
52,0.0897656,0.92613,10
53,0.133034,0.989975,14
54,0.10627,0.940497,15
55,0.0439993,0.478685,13
56,0.0803933,0.772144,13
57,0.0706796,0.828825,13
58,0.141605,0.87994,14
59,0.073682,0.963036,12
60,0.0979296,0.643851,12
61,0.0815551,0.931851,12
62,0.0559129,0.691044,13
63,0.104967,0.809019,12
64,0.0988296,0.971198,11
65,0.104092,0.555244,14
66,0.130507,0.99623,15
67,0.14847,0.979553,14
68,0.17545,0.913736,15
69,0.129384,0.994217,13
70,0.131939,0.734524,11
71,0.0316921,0.213118,10
72,0.084867,0.973383,16
73,0.156116,0.835201,14
74,0.0656669,0.799713,12
75,0.097453,0.840129,11
76,0.117793,0.879337,14
77,0.136443,0.974668,12
78,0.112472,0.80301,13
79,0.0604542,0.475456,10
80,0.0798404,0.692687,12
81,0.0256266,0.38671,10
82,0.0623612,0.646197,14
83,0.0417189,0.350154,14
84,0.0671068,0.619755,9
85,0.0994106,0.854531,10
86,0.0787148,0.862119,13
87,0.113202,0.801211,11
88,0.0928032,0.754924,13
89,0.0498732,0.490419,11
90,0.17024,0.916325,14
